Filename,mIoU_Animals_Only
o_1036236_17_semantic.png,0.1707
o_1034828_17_semantic.png,0.0000
o_1035055_12_semantic.png,0.0000
o_1035977_7_semantic.png,0.6737
o_1035572_12_semantic.png,0.8254
o_1035142_20_semantic.png,0.0000
o_1036126_7_semantic.png,0.0169
o_1034550_20_semantic.png,0.8710
o_1036027_20_semantic.png,0.0000
o_1035083_0_semantic.png,0.0000
o_1036138_7_semantic.png,0.3932
o_1035353_17_semantic.png,0.0000
o_1035674_17_semantic.png,0.0000
o_1036157_0_semantic.png,0.2827
o_1035151_7_semantic.png,0.0000
o_1035156_17_semantic.png,0.0000
o_1036149_0_semantic.png,0.2176
o_1034642_12_semantic.png,0.0000
o_1035498_17_semantic.png,0.0000
o_1034786_12_semantic.png,0.5736
o_1034691_20_semantic.png,0.5643
o_1035092_17_semantic.png,0.0000
o_1034911_20_semantic.png,0.0000
o_1035274_0_semantic.png,0.0000
o_1035759_17_semantic.png,0.4016
o_1034583_12_semantic.png,0.6410
o_1034494_20_semantic.png,0.3082
o_1032207_0_semantic.png,0.0062
o_1035048_7_semantic.png,0.7164
o_1035044_17_semantic.png,0.0000
o_1035563_17_semantic.png,0.0000
o_1034647_20_semantic.png,0.0000
o_1034839_12_semantic.png,0.0091
o_1036050_0_semantic.png,0.0000
o_1034750_12_semantic.png,0.0000
o_1034442_20_semantic.png,0.8188
o_1036182_7_semantic.png,0.0333
o_1035039_0_semantic.png,0.0000
o_1034555_12_semantic.png,0.1080
o_1035027_0_semantic.png,0.0000
o_1035241_17_semantic.png,0.0029
o_1035385_17_semantic.png,0.3412
o_1034478_12_semantic.png,0.6300
o_1036018_20_semantic.png,0.0000
o_1034491_12_semantic.png,0.8605
o_1034586_20_semantic.png,0.8056
o_1035373_0_semantic.png,0.0002
o_1035922_17_semantic.png,0.3363
o_1034694_12_semantic.png,0.7760
o_1034783_20_semantic.png,0.0000
o_1034803_20_semantic.png,0.0000
o_1035180_17_semantic.png,0.0000
o_1034592_17_semantic.png,0.0000
o_1035936_20_semantic.png,0.0000
o_1034441_0_semantic.png,0.8838
o_1035286_12_semantic.png,0.0000
o_1035478_0_semantic.png,0.0000
o_1035194_20_semantic.png,0.0023
o_1034817_17_semantic.png,0.4926
o_1036209_17_semantic.png,0.8800
o_1035083_12_semantic.png,0.0000
o_1034430_7_semantic.png,0.9009
o_1034797_17_semantic.png,0.0000
o_1035743_7_semantic.png,0.9227
o_1034764_7_semantic.png,0.0432
o_1035147_12_semantic.png,0.0000
o_1035577_20_semantic.png,0.7436
o_1035050_20_semantic.png,0.7519
o_1035342_12_semantic.png,0.0000
o_1035732_0_semantic.png,0.8448
o_1034838_0_semantic.png,0.0000
o_1035801_0_semantic.png,0.4170
o_1035665_12_semantic.png,0.8134
o_1035255_20_semantic.png,0.9480
o_1034456_17_semantic.png,0.3849
o_1034940_0_semantic.png,0.0097
o_1035979_0_semantic.png,0.1042
o_1034673_0_semantic.png,0.2899
o_1035872_17_semantic.png,0.0000
o_1021842_17_semantic.png,0.0000
o_1034528_12_semantic.png,0.6907
o_1035967_0_semantic.png,0.0884
o_1035654_0_semantic.png,0.1282
o_1034953_20_semantic.png,0.4057
o_1034931_7_semantic.png,0.1250
o_1034844_12_semantic.png,0.1771
o_1035908_7_semantic.png,0.3829
o_1035039_17_semantic.png,0.0000
o_1035798_7_semantic.png,0.6737
o_1035916_7_semantic.png,0.3617
o_1036260_20_semantic.png,0.1044
o_1034600_12_semantic.png,0.0000
o_1034548_7_semantic.png,0.0000
o_1035571_7_semantic.png,0.7823
o_1036289_20_semantic.png,0.2475
o_1035433_17_semantic.png,0.4085
o_1035114_17_semantic.png,0.0416
o_1034527_0_semantic.png,0.0010
o_1035311_17_semantic.png,0.9291
o_1034512_20_semantic.png,0.9210
o_1036065_20_semantic.png,0.7872
o_1034484_0_semantic.png,0.0000
o_1035500_0_semantic.png,0.0000
o_1035017_12_semantic.png,0.9198
